"job_id","array_job_id","array_task_id","name","job_state","user_id","user_name","group_id","cluster","partition","command","current_working_directory","batch_flag","batch_host","nodes","node_count","cpus","tasks","tasks_per_node","cpus_per_task","memory_per_node","memory_per_cpu","priority","time_limit","deadline","submit_time","preempt_time","suspend_time","eligible_time","start_time","end_time","resize_time","restart_cnt","exit_code","derived_exit_code"
3117928,0,,HyPHY,RUNNING,100218,chtong,350,redraider,nocona,/lustre/work/chtong/1Ant_genomics/8HyPHY_BUSTED/2Ant_102_foreground_sp10/4/busted.sh,/lustre/work/chtong/1Ant_genomics/8HyPHY_BUSTED/2Ant_102_foreground_sp10/4,true,cpu-24-48,{cpu-24-48},1,2,2,0,,,4027,108113,120000,0,1630080440,0,0,1630080440,1630080442,1637280442,0,0,0,0
3687250,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/36/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/36,true,,"{cpu-23-9,cpu-24-7,cpu-24-20}",3,40,40,0,,,4027,1182,2880,0,1635578623,0,0,1635578624,1635632432,1635637334,0,0,0,0
3687179,0,,case1,COMPLETED,99109,hge,260,redraider,nocona,/lustre/scratch/hge/md/case1_redo_Tr_0_7/step3/nocona-stu.sh,/lustre/scratch/hge/md/case1_redo_Tr_0_7/step3,true,,{cpu-26-1},1,128,32,32,,,4027,1790,2880,0,1635574083,0,0,0,1635605095,1635770036,0,0,0,0
3687180,0,,case2,COMPLETED,99109,hge,260,redraider,nocona,/lustre/scratch/hge/md/case2/Step3/nocona-stu.sh,/lustre/scratch/hge/md/case2/Step3,true,,{cpu-24-47},1,128,32,32,,,4027,1790,2880,0,1635574103,0,0,0,1635604494,1635768025,0,0,0,0
3687234,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/18/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/18,true,,"{cpu-25-26,cpu-25-51,cpu-25-55}",3,40,40,0,,,4027,1182,2880,0,1635578579,0,0,1635578579,1635627628,1635645406,0,0,0,0
3687233,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/17/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/17,true,,"{cpu-23-34,cpu-24-19,cpu-25-51}",3,40,40,0,,,4027,1182,2880,0,1635578568,0,0,1635578568,1635627628,1635640474,0,0,0,0
3687236,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/21/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/21,true,,"{cpu-23-3,cpu-25-30,cpu-25-57}",3,40,40,0,,,4027,1182,2880,0,1635578585,0,0,1635578585,1635628529,1635652578,0,0,0,0
3687235,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/19/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/19,true,,"{cpu-23-34,cpu-25-30,cpu-25-57}",3,40,40,0,,,4027,1182,2880,0,1635578582,0,0,1635578582,1635628529,1635649469,0,0,0,0
3687237,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/22/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/22,true,,"{cpu-25-25,cpu-25-30,cpu-25-57}",3,40,40,0,,,4027,1182,2880,0,1635578586,0,0,1635578587,1635628529,1635654170,0,0,0,0
3118053,0,,HyPHY,RUNNING,100218,chtong,350,redraider,nocona,/lustre/work/chtong/1Ant_genomics/8HyPHY_BUSTED/1Ant_118_foreground_sp10/4/busted.sh,/lustre/work/chtong/1Ant_genomics/8HyPHY_BUSTED/1Ant_118_foreground_sp10/4,true,cpu-24-48,{cpu-24-48},1,1,1,0,,,4027,108113,120000,0,1630082429,0,0,1630082429,1630082436,1637282436,0,0,0,0
3685461,0,,gibsiteJob2TZVP,COMPLETED,100323,tristfis,260,redraider,nocona,/home/tristfis/BroGibs/Gibs/def2-TZVP/HI_Gibs/vertical_b1/SLURM_turbo.sh,/home/tristfis/BroGibs/Gibs/def2-TZVP/HI_Gibs/vertical_b1,true,,{cpu-25-6},1,12,12,0,,,5200,2368,2880,0,1635539833,0,0,1635539833,1635540110,1635680908,0,0,0,0
3680962,0,,gromacs_atomistic,TIMEOUT,100120,evanaals,310,redraider,nocona,/lustre/work/evanaals/home/evanaals/atomistic/charmm-gui-0605447897/gromacs/submit_atomistic.sh,/lustre/work/evanaals/home/evanaals/atomistic/charmm-gui-0605447897/gromacs,true,,"{cpu-25-27,cpu-25-28,cpu-25-29,cpu-25-39,cpu-26-19,cpu-26-20,cpu-26-21,cpu-26-22}",8,1024,1024,128,,,4027,1304,2880,0,1635463246,0,0,1635463246,1635582232,1635755048,0,0,15,256
3683977,0,,Ze33,CANCELLED,99623,fmolajaf,210,redraider,nocona,"/home/fmolajaf/HZSM5/LAST/Dimer/T-site6,9/Dimerization/BareZeolite/Model2/1FromModel1Folder3/submit.sh","/home/fmolajaf/HZSM5/LAST/Dimer/T-site6,9/Dimerization/BareZeolite/Model2/1FromModel1Folder3",true,,{cpu-23-59},1,128,128,0,,,4027,108023,4320,0,1635534381,0,0,1635534381,1635541469,1635724279,0,0,15,15
3687241,0,,hyphy,FAILED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/26/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/26,true,,"{cpu-25-30,cpu-25-57,cpu-26-34}",3,40,40,0,,,4027,1182,2880,0,1635578599,0,0,1635578599,1635629730,1635646623,0,0,256,0
3687199,0,,hyphy,FAILED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/19/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/19,true,,"{cpu-24-18,cpu-25-40,cpu-25-41}",3,40,40,0,,,4027,1182,2880,0,1635577022,0,0,1635577022,1635622224,1635639183,0,0,256,0
3685996,0,,gibsiteJob2TZVP,COMPLETED,100323,tristfis,260,redraider,nocona,/home/tristfis/BroGibs/Gibs/def2-TZVP/HI_Gibs/horiz_a1/SLURM_turbo.sh,/home/tristfis/BroGibs/Gibs/def2-TZVP/HI_Gibs/horiz_a1,true,,{cpu-25-6},1,12,12,0,,,5200,2368,2880,0,1635541840,0,0,1635541840,1635541952,1635641647,0,0,0,0
3687198,0,,hyphy,FAILED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/18/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/18,true,,"{cpu-24-18,cpu-24-19,cpu-24-20}",3,40,40,0,,,4027,1182,2880,0,1635577017,0,0,1635577017,1635622224,1635652763,0,0,256,0
3686978,0,,pylipid,TIMEOUT,99702,iseason,310,redraider,nocona,/lustre/scratch/iseason/YidC1_homo_dimer/pylipid_yidc1_homo.sh,/lustre/scratch/iseason/YidC1_homo_dimer,true,,{cpu-25-45},1,128,128,128,,,4027,1881,2880,0,1635546458,0,0,1635546458,1635574308,1635747126,0,0,15,0
3686979,0,,pylipid,TIMEOUT,99702,iseason,310,redraider,nocona,/lustre/scratch/iseason/YidC2_homo_dimer/pylipid_yidc2_homo.sh,/lustre/scratch/iseason/YidC2_homo_dimer,true,,{cpu-26-17},1,128,128,128,,,4027,1881,2880,0,1635546856,0,0,1635546856,1635576748,1635749557,0,0,15,0
3687191,0,,hyphy,FAILED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/11/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/11,true,,"{cpu-24-28,cpu-25-25,cpu-25-26}",3,40,40,0,,,4027,1182,2880,0,1635576999,0,0,1635576999,1635619822,1635639182,0,0,256,0
3687194,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/14/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/14,true,,"{cpu-23-3,cpu-23-14,cpu-26-34}",3,40,40,0,,,4027,1182,2880,0,1635577008,0,0,1635577008,1635619822,1635645055,0,0,0,0
3687195,0,,hyphy,FAILED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/15/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/15,true,,"{cpu-23-3,cpu-23-14,cpu-25-25}",3,40,40,0,,,4027,1182,2880,0,1635577010,0,0,1635577010,1635619822,1635662779,0,0,256,0
3687201,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/22/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/22,true,,"{cpu-24-49,cpu-25-40,cpu-25-41}",3,40,40,0,,,4027,1182,2880,0,1635577026,0,0,1635577026,1635622224,1635645184,0,0,0,0
3687200,0,,hyphy,FAILED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/21/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/21,true,,"{cpu-25-40,cpu-25-41,cpu-26-34}",3,40,40,0,,,4027,1182,2880,0,1635577024,0,0,1635577024,1635622224,1635657233,0,0,256,0
3687326,0,,hyphy,FAILED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/1Relax/31/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/1Relax/31,true,,"{cpu-23-3,cpu-23-9,cpu-23-34,cpu-24-7,cpu-24-20,cpu-24-49,cpu-25-6,cpu-25-51,cpu-25-55,cpu-25-59}",10,150,150,0,,,4027,1182,2880,0,1635606920,0,0,1635606920,1635637539,1635637548,0,0,256,0
